LSOA11CD,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Children and Young People Sub-domain Score,Adult Skills Sub-domain Score,Geographical Barriers Sub-domain Score,Wider Barriers Sub-domain Score,Indoors Sub-domain Score,Outdoors Sub-domain Score
E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham,30.608,0.162,0.116,30.952,0.225,0.192,43.718,32.758,0.207,0.217,0.104,0.437,-0.787,5.731,0.419,1.009
E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham,27.895,0.158,0.113,31.053,-0.111,-0.221,43.176,30.006,0.171,0.224,0.174,0.43,-1.197,5.841,0.248,1.037
E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham,34.377,0.196,0.134,27.072,0.361,0.434,44.245,35.395,0.249,0.237,0.064,0.407,-0.899,5.871,0.49,1.118
E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham,39.815,0.229,0.141,36.839,0.338,1.309,43.432,28.534,0.266,0.269,0.545,0.435,-1.011,5.82,0.127,1.086
E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham,35.154,0.189,0.124,36.259,-0.227,1.036,46.139,32.465,0.197,0.305,0.347,0.455,-1.424,6.327,0.311,1.156
E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham,38.156,0.218,0.142,28.503,0.89,0.868,42.757,26.281,0.236,0.391,0.144,0.411,-0.868,5.644,0.192,0.78
E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham,34.357,0.226,0.131,27.171,0.046,0.135,48.565,31.357,0.263,0.274,-0.19,0.432,-0.209,5.846,0.372,0.968
E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham,28.849,0.147,0.1,20.313,0.264,0.552,44.005,34.525,0.177,0.181,-0.311,0.378,-0.913,5.848,0.353,1.268
E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham,28.968,0.156,0.092,25.246,-0.154,0.189,47.254,40.955,0.216,0.187,-0.1,0.407,-0.138,5.547,0.746,1.104
E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham,28.317,0.169,0.091,22.024,-0.187,0.7,45.475,29.464,0.25,0.161,-0.161,0.382,-0.458,5.7,0.19,1.071
E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham,42.183,0.256,0.175,32.562,0.324,0.994,48.266,23.563,0.27,0.305,0.119,0.45,-0.918,6.49,-0.327,1.17
E01000092,Barking and Dagenham 019E,E09000002,Barking and Dagenham,33.768,0.215,0.106,18.788,-0.008,0.657,61.059,29.993,0.263,0.375,-0.083,0.341,0.611,5.95,0.36,0.862
E01000093,Barking and Dagenham 022B,E09000002,Barking and Dagenham,46.922,0.26,0.169,27.955,0.842,1.073,49.657,43.57,0.32,0.33,0.263,0.391,-1.069,6.797,0.601,1.582
E01000094,Barking and Dagenham 022C,E09000002,Barking and Dagenham,28.182,0.167,0.094,10.866,-0.036,0.524,64.961,20.692,0.191,0.3,-0.239,0.26,0.685,6.369,-0.09,0.648
E01000095,Barking and Dagenham 018E,E09000002,Barking and Dagenham,32.254,0.196,0.095,22.314,-0.111,0.944,63.151,18.657,0.262,0.278,0.161,0.348,0.802,5.773,-0.518,0.888
E01000096,Barking and Dagenham 022D,E09000002,Barking and Dagenham,40.926,0.259,0.135,34.307,0.008,1.284,48.317,29.982,0.345,0.245,0.444,0.426,-0.618,6.289,-0.184,1.553
E01000097,Barking and Dagenham 023C,E09000002,Barking and Dagenham,38.009,0.223,0.131,32.926,0.808,0.468,47.096,28.566,0.232,0.351,0.264,0.436,-0.66,6.141,0.132,1.08
E01000098,Barking and Dagenham 023D,E09000002,Barking and Dagenham,39.405,0.239,0.159,31.389,0.443,0.911,43.482,28.673,0.26,0.319,0.091,0.443,-1.328,5.903,0.123,1.104
E01000099,Barking and Dagenham 023E,E09000002,Barking and Dagenham,29.266,0.174,0.105,25.037,0.214,0.008,47.111,26.795,0.2,0.301,-0.218,0.416,-0.53,6.016,0.268,0.705
E01000100,Barking and Dagenham 004B,E09000002,Barking and Dagenham,31.83,0.16,0.117,29.622,0.106,0.634,42.938,38.207,0.167,0.236,0.146,0.421,-1.169,5.801,0.634,1.09
E01000101,Barking and Dagenham 004C,E09000002,Barking and Dagenham,40.463,0.254,0.154,28.988,0.464,0.832,43.29,37.223,0.294,0.327,-0.002,0.431,-1.048,5.811,0.313,1.53
E01000102,Barking and Dagenham 007G,E09000002,Barking and Dagenham,42.631,0.275,0.175,23.976,0.684,0.762,44.376,33.8,0.322,0.356,-0.181,0.403,-0.759,5.821,0.416,1.105
E01000103,Barking and Dagenham 014A,E09000002,Barking and Dagenham,32.894,0.18,0.113,26.208,0.427,0.58,50.872,20.068,0.236,0.275,-0.211,0.425,-0.206,6.178,-0.119,0.622
E01000104,Barking and Dagenham 014B,E09000002,Barking and Dagenham,34.672,0.222,0.134,31.664,0.276,0.131,50.107,18.066,0.275,0.291,0.244,0.428,-0.505,6.45,-0.309,0.646
E01000105,Barking and Dagenham 014C,E09000002,Barking and Dagenham,44.149,0.246,0.165,36.132,0.932,1.039,47.24,25.589,0.273,0.386,0.488,0.436,-1.693,6.527,-0.064,1.071
E01000106,Barking and Dagenham 014D,E09000002,Barking and Dagenham,43.523,0.275,0.167,27.219,0.636,0.786,51.428,26.265,0.316,0.343,0.309,0.377,-0.519,6.68,0.248,0.688
E01000107,Barking and Dagenham 010C,E09000002,Barking and Dagenham,28.332,0.151,0.095,29.324,0.579,-0.027,44.429,22.813,0.221,0.159,0.252,0.405,0.075,4.875,0.042,0.673
E01000108,Barking and Dagenham 010D,E09000002,Barking and Dagenham,28.166,0.171,0.104,20.596,0.158,0.183,41.045,35.136,0.275,0.14,-0.249,0.376,-1.437,5.574,0.673,0.723
E01000109,Barking and Dagenham 004D,E09000002,Barking and Dagenham,25.691,0.12,0.084,22.485,-0.199,0.891,39.755,34.149,0.15,0.146,-0.199,0.39,-0.58,5.047,0.469,1.049
E01000110,Barking and Dagenham 002C,E09000002,Barking and Dagenham,17.741,0.112,0.078,12.848,-0.002,-0.312,32.872,20.544,0.149,0.124,-0.707,0.328,-0.49,4.15,-0.133,0.689
E01000111,Barking and Dagenham 002D,E09000002,Barking and Dagenham,28.903,0.174,0.111,20.878,0.187,0.313,44.339,26.789,0.196,0.26,-0.166,0.372,-0.499,5.58,0.206,0.807
E01000112,Barking and Dagenham 002E,E09000002,Barking and Dagenham,24.743,0.129,0.065,18.969,-0.324,0.602,43.159,40.766,0.168,0.24,0.005,0.332,-0.993,5.773,0.815,0.93
E01000113,Barking and Dagenham 002F,E09000002,Barking and Dagenham,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945,0.213,0.187,-0.041,0.315,-0.438,5.23,0.087,1.001
E01000114,Barking and Dagenham 004E,E09000002,Barking and Dagenham,23.288,0.119,0.074,19.124,-0.117,0.423,40.755,34.274,0.167,0.144,-0.406,0.374,-0.98,5.421,0.535,0.941
E01000115,Barnet 009A,E09000003,Barnet,6.227,0.055,0.046,3.734,-1.526,-0.545,17.004,18.838,0.073,0.058,-1.576,0.229,-0.658,1.386,-0.444,0.849
E01000116,Barnet 009B,E09000003,Barnet,7.79,0.074,0.049,3.87,-1.412,-0.43,19.173,18.248,0.063,0.142,-0.957,0.208,-0.514,1.662,-0.107,0.403
E01000117,Barnet 010A,E09000003,Barnet,9.642,0.071,0.062,6.077,-1.141,-0.168,21.506,17.66,0.051,0.09,-0.534,0.213,-0.484,2.106,-0.161,0.417
E01000118,Barnet 010B,E09000003,Barnet,9.812,0.077,0.059,8.59,-1.679,-0.206,22.339,16.261,0.094,0.099,-0.43,0.247,-0.425,2.189,-0.306,0.443
E01000119,Barnet 009C,E09000003,Barnet,11.589,0.078,0.054,3.312,-1.884,0.627,23.519,21.949,0.066,0.135,-1.424,0.217,-0.177,1.974,-0.158,0.86
E01000120,Barnet 009D,E09000003,Barnet,5.902,0.061,0.036,4.436,-1.58,-0.568,18.977,14.872,0.048,0.099,-1.301,0.235,-0.571,1.697,-0.584,0.561
E01000121,Barnet 010C,E09000003,Barnet,36.203,0.262,0.194,22.583,0.261,0.336,37.522,13.339,0.294,0.293,0.176,0.348,-0.02,4.176,-0.853,0.571
E01000122,Barnet 009E,E09000003,Barnet,10.152,0.071,0.055,2.257,-1.246,-0.622,30.659,21.817,0.053,0.138,-1.793,0.2,0.315,2.117,0.057,0.543
E01000123,Barnet 010D,E09000003,Barnet,11.048,0.075,0.049,8.519,-1.062,-0.684,34.632,15.659,0.114,0.116,-0.577,0.262,0.381,2.725,-0.298,0.372
E01000124,Barnet 010E,E09000003,Barnet,23.589,0.166,0.128,14.674,-0.593,0.491,30.587,20.768,0.191,0.278,0.17,0.248,-1.194,4.25,-0.365,0.96
E01000125,Barnet 024A,E09000003,Barnet,26.704,0.179,0.088,23.785,-0.615,0.586,45.911,20.582,0.21,0.327,0.149,0.364,-0.412,5.717,-0.538,1.071
E01000126,Barnet 026A,E09000003,Barnet,33.625,0.243,0.152,13.21,-0.077,-0.164,51.181,24.433,0.27,0.467,-0.279,0.298,0.165,5.553,0.15,0.672
E01000127,Barnet 024B,E09000003,Barnet,27.543,0.193,0.129,21.348,-0.495,0.424,37.588,22.92,0.224,0.327,-0.069,0.366,-1.365,5.104,-0.086,0.862
E01000128,Barnet 024C,E09000003,Barnet,27.055,0.171,0.103,22.529,-0.346,0.957,34.708,27.146,0.236,0.209,-0.188,0.389,-0.675,4.558,0.033,1.087
E01000129,Barnet 024D,E09000003,Barnet,31.0,0.214,0.11,23.973,-0.148,1.004,38.657,25.543,0.176,0.549,-0.151,0.4,-1.385,5.236,-0.263,1.277
E01000130,Barnet 021A,E09000003,Barnet,30.863,0.185,0.118,19.118,-0.331,0.839,43.475,35.288,0.203,0.262,-0.138,0.35,-0.245,5.184,0.665,0.757
E01000131,Barnet 024E,E09000003,Barnet,20.904,0.116,0.067,10.9,-0.802,1.133,39.033,20.979,0.11,0.185,-0.764,0.308,-0.107,4.522,-0.583,1.139
E01000132,Barnet 021B,E09000003,Barnet,25.53,0.187,0.106,22.698,-0.464,0.309,35.397,25.837,0.232,0.329,0.087,0.361,-1.56,4.885,-0.015,1.039
E01000133,Barnet 021C,E09000003,Barnet,30.774,0.188,0.159,24.516,-0.059,0.065,40.079,26.72,0.153,0.31,-0.047,0.395,-0.509,5.03,-0.005,1.101
E01000134,Barnet 024F,E09000003,Barnet,24.669,0.184,0.093,20.26,-0.579,-0.195,42.152,27.225,0.212,0.412,0.181,0.322,-0.817,5.537,0.289,0.71
E01000135,Barnet 038A,E09000003,Barnet,12.523,0.076,0.048,4.357,-1.087,0.385,25.516,33.536,0.089,0.089,-0.579,0.171,-0.465,2.907,0.226,1.363
