LSOA21CD,All categories: Economic activity_weighted,Economically active: Total_weighted,Economically active: Employee: Part-time_weighted,Economically active: Employee: Full-time_weighted,Economically active: Self-employed with employees: Part-time_weighted,Economically active: Self-employed with employees: Full-time_weighted,Economically active: Self-employed without employees: Part-time_weighted,Economically active: Self-employed without employees: Full-time_weighted,Economically active: Unemployed_weighted,Economically active: Full-time student_weighted,Economically inactive: Total_weighted,Economically inactive: Retired_weighted,Economically inactive: Student (including full-time students)_weighted,Economically inactive: Looking after home or family_weighted,Economically inactive: Long-term sick or disabled_weighted,Economically inactive: Other_weighted
E01000164,1225.0,866.0,156.0,413.0,8.0,18.0,53.0,98.0,74.0,46.0,359.0,89.0,95.0,77.0,64.0,34.0
E01000165,1427.0,1079.0,149.0,521.0,10.0,40.0,63.0,202.0,66.0,28.0,348.0,113.0,81.0,75.0,30.0,49.0
E01000166,1144.0,788.0,137.0,418.0,11.0,32.0,36.0,80.0,49.0,25.0,356.0,152.0,73.0,65.0,38.0,28.0
E01000167,977.0,695.0,128.0,366.0,3.0,12.0,41.0,54.0,54.0,37.0,282.0,97.0,71.0,50.0,30.0,34.0
E01000168,1140.0,772.0,140.0,379.0,12.0,48.0,60.0,72.0,36.0,25.0,368.0,166.0,79.0,65.0,25.0,33.0
E01000169,1121.0,854.0,143.0,466.0,13.0,34.0,48.0,91.0,40.0,19.0,267.0,110.0,57.0,47.0,37.0,16.0
E01000170,1172.0,843.0,134.0,463.0,3.0,32.0,46.0,74.0,55.0,36.0,329.0,125.0,74.0,60.0,49.0,21.0
E01000171,1379.0,1053.0,164.0,614.0,7.0,16.0,42.0,99.0,81.0,30.0,326.0,64.0,86.0,74.0,51.0,51.0
E01000172,1185.0,796.0,140.0,414.0,8.0,34.0,51.0,81.0,41.0,27.0,389.0,139.0,130.0,67.0,24.0,29.0
E01000173,1256.0,896.0,160.0,510.0,3.0,26.0,53.0,72.0,42.0,30.0,360.0,146.0,95.0,57.0,36.0,26.0
E01000174,1265.0,921.0,167.0,488.0,5.0,20.0,49.0,74.0,84.0,34.0,344.0,131.0,83.0,56.0,47.0,27.0
E01000175,1138.0,847.0,160.0,434.0,6.0,24.0,53.0,80.0,57.0,33.0,291.0,146.0,51.0,50.0,25.0,19.0
E01000176,1187.0,781.0,132.0,408.0,6.0,18.0,38.0,84.0,61.0,34.0,406.0,156.0,78.0,68.0,73.0,31.0
E01000177,1287.0,1034.0,132.0,599.0,6.0,22.0,83.0,128.0,36.0,28.0,253.0,106.0,71.0,44.0,13.0,19.0
E01000178,1267.0,945.0,137.0,526.0,5.0,37.0,72.0,98.0,33.0,37.0,322.0,109.0,95.0,60.0,34.0,24.0
E01000179,1294.0,1078.0,144.0,659.0,3.0,26.0,56.0,119.0,43.0,28.0,216.0,80.0,53.0,42.0,28.0,13.0
E01000180,1188.0,853.0,125.0,521.0,5.0,33.0,34.0,67.0,36.0,32.0,335.0,134.0,87.0,49.0,44.0,21.0
E01000181,1319.0,1067.0,127.0,612.0,4.0,34.0,75.0,123.0,53.0,39.0,252.0,114.0,70.0,30.0,18.0,20.0
E01000182,1320.0,1024.0,118.0,638.0,1.0,39.0,47.0,111.0,41.0,29.0,296.0,125.0,82.0,38.0,35.0,16.0
E01000183,1025.0,771.0,106.0,454.0,8.0,34.0,53.0,73.0,22.0,21.0,254.0,106.0,60.0,46.0,19.0,23.0
E01000184,1005.0,683.0,121.0,342.0,4.0,19.0,32.0,60.0,64.0,41.0,322.0,97.0,87.0,61.0,48.0,29.0
E01000185,1092.0,735.0,107.0,351.0,1.0,18.0,39.0,71.0,90.0,58.0,357.0,84.0,98.0,64.0,78.0,33.0
E01000186,1080.0,794.0,170.0,361.0,10.0,58.0,64.0,71.0,31.0,29.0,286.0,113.0,82.0,50.0,24.0,17.0
E01000187,1084.0,760.0,157.0,353.0,5.0,32.0,48.0,87.0,49.0,29.0,324.0,123.0,73.0,65.0,24.0,39.0
E01000188,1127.0,842.0,138.0,368.0,14.0,67.0,59.0,145.0,25.0,26.0,285.0,107.0,77.0,61.0,11.0,29.0
E01000189,1248.0,825.0,191.0,342.0,3.0,9.0,29.0,49.0,120.0,82.0,423.0,70.0,119.0,101.0,70.0,63.0
E01000190,1083.0,755.0,145.0,343.0,8.0,50.0,44.0,100.0,35.0,30.0,328.0,115.0,92.0,69.0,20.0,32.0
E01000191,1056.0,746.0,153.0,353.0,9.0,48.0,46.0,89.0,33.0,15.0,310.0,130.0,85.0,54.0,20.0,21.0
E01000192,1292.0,919.0,174.0,409.0,11.0,58.0,63.0,114.0,49.0,41.0,373.0,111.0,104.0,79.0,25.0,54.0
E01000193,1235.0,864.0,164.0,393.0,7.0,56.0,69.0,89.0,43.0,43.0,371.0,111.0,138.0,54.0,31.0,37.0
E01000194,1230.0,892.0,149.0,433.0,4.0,46.0,47.0,105.0,59.0,49.0,338.0,104.0,99.0,55.0,32.0,48.0
E01000195,1276.0,840.0,149.0,413.0,7.0,11.0,35.0,87.0,88.0,50.0,436.0,117.0,99.0,81.0,89.0,50.0
