LSOA11CD,Borough,All categories: Distance travelled to work,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Work mainly at or from home,Other,Total distance (km),Average distance (km)
E01000119,Barnet ,794,66.0,95.0,147.0,284.0,16.0,8.0,5.0,13.0,73.0,87.0,7884.2,12.4
E01000120,Barnet ,695,63.0,108.0,133.0,222.0,13.0,11.0,5.0,10.0,74.0,56.0,6962.6,12.3
E01000121,Barnet ,543,50.0,103.0,97.0,161.0,12.0,3.0,4.0,5.0,47.0,61.0,4715.6,10.8
E01000122,Barnet ,746,55.0,80.0,149.0,278.0,14.0,4.0,6.0,5.0,78.0,77.0,7040.4,11.9
E01000123,Barnet ,900,81.0,130.0,155.0,296.0,22.0,6.0,3.0,10.0,86.0,111.0,9063.0,12.9
E01000124,Barnet ,785,75.0,96.0,142.0,260.0,18.0,6.0,8.0,5.0,61.0,114.0,6672.2,10.9
E01000125,Barnet ,1170,113.0,140.0,213.0,343.0,59.0,8.0,6.0,17.0,94.0,177.0,10779.6,12.0
E01000126,Barnet ,875,102.0,116.0,199.0,260.0,21.0,7.0,3.0,12.0,63.0,92.0,7891.1,11.0
E01000127,Barnet ,667,89.0,70.0,91.0,189.0,26.0,6.0,4.0,5.0,57.0,130.0,5398.9,11.2
E01000128,Barnet ,810,121.0,95.0,181.0,181.0,19.0,2.0,3.0,11.0,67.0,130.0,6908.5,11.3
E01000129,Barnet ,723,75.0,93.0,137.0,182.0,22.0,6.0,3.0,4.0,68.0,133.0,5395.7,10.3
E01000130,Barnet ,724,84.0,91.0,148.0,196.0,21.0,7.0,2.0,8.0,66.0,101.0,6273.0,11.3
E01000131,Barnet ,836,75.0,106.0,152.0,259.0,14.0,9.0,5.0,9.0,68.0,139.0,6889.7,11.0
E01000132,Barnet ,631,102.0,90.0,102.0,161.0,20.0,4.0,5.0,6.0,35.0,106.0,5279.4,10.8
E01000133,Barnet ,648,69.0,101.0,126.0,168.0,21.0,6.0,3.0,8.0,46.0,100.0,6002.4,12.0
E01000134,Barnet ,744,92.0,76.0,158.0,207.0,24.0,8.0,7.0,7.0,47.0,118.0,7182.1,12.4
E01000135,Barnet ,713,66.0,88.0,262.0,80.0,10.0,2.0,3.0,6.0,127.0,69.0,5074.8,9.8
E01000136,Barnet ,704,37.0,69.0,304.0,61.0,7.0,3.0,4.0,10.0,160.0,49.0,5251.1,10.6
E01000137,Barnet ,682,59.0,148.0,251.0,56.0,3.0,3.0,3.0,5.0,62.0,92.0,4406.4,8.3
E01000138,Barnet ,664,61.0,129.0,237.0,41.0,7.0,1.0,3.0,6.0,68.0,111.0,4164.0,8.6
E01000139,Barnet ,742,47.0,92.0,300.0,63.0,12.0,4.0,6.0,9.0,131.0,78.0,5065.4,9.5
E01000140,Barnet ,842,52.0,127.0,331.0,78.0,9.0,6.0,4.0,13.0,103.0,119.0,6453.3,10.4
E01000141,Barnet ,1142,63.0,179.0,429.0,130.0,15.0,4.0,4.0,8.0,113.0,197.0,7081.3,8.5
E01000142,Barnet ,1213,121.0,144.0,453.0,159.0,20.0,9.0,10.0,15.0,110.0,172.0,10364.7,11.1
E01000143,Barnet ,591,45.0,106.0,205.0,61.0,9.0,1.0,2.0,8.0,58.0,96.0,4618.2,10.6
E01000144,Barnet ,839,56.0,88.0,322.0,134.0,10.0,9.0,6.0,2.0,108.0,104.0,5798.2,9.2
