LSOA11CD,Borough,All categories: Economic activity,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E01000132,Barnet ,1027,718.0,136.0,351.0,4.0,18.0,27.0,70.0,64.0,48.0,309.0,76.0,83.0,67.0,33.0,50.0
E01000133,Barnet ,1125,737.0,135.0,371.0,5.0,20.0,30.0,59.0,74.0,43.0,388.0,94.0,99.0,75.0,73.0,47.0
E01000134,Barnet ,1181,847.0,173.0,395.0,11.0,16.0,35.0,84.0,92.0,41.0,334.0,89.0,95.0,61.0,40.0,49.0
E01000135,Barnet ,1123,774.0,116.0,360.0,10.0,56.0,75.0,71.0,47.0,39.0,349.0,82.0,132.0,68.0,22.0,45.0
E01000136,Barnet ,1040,728.0,88.0,366.0,17.0,68.0,63.0,86.0,20.0,20.0,312.0,88.0,95.0,86.0,18.0,25.0
E01000137,Barnet ,1177,756.0,138.0,389.0,1.0,15.0,39.0,73.0,64.0,37.0,421.0,108.0,97.0,82.0,75.0,59.0
E01000138,Barnet ,1063,728.0,127.0,325.0,10.0,34.0,52.0,90.0,48.0,42.0,335.0,95.0,111.0,69.0,25.0,35.0
E01000139,Barnet ,1103,811.0,108.0,401.0,10.0,47.0,62.0,88.0,61.0,34.0,292.0,76.0,96.0,62.0,25.0,33.0
E01000140,Barnet ,1296,923.0,126.0,453.0,10.0,39.0,68.0,99.0,70.0,58.0,373.0,84.0,147.0,44.0,46.0,52.0
E01000141,Barnet ,1656,1278.0,182.0,635.0,15.0,32.0,95.0,124.0,104.0,91.0,378.0,58.0,158.0,71.0,52.0,39.0
E01000142,Barnet ,1770,1321.0,208.0,693.0,17.0,37.0,84.0,133.0,96.0,53.0,449.0,81.0,118.0,104.0,77.0,69.0
E01000143,Barnet ,1077,709.0,121.0,306.0,9.0,23.0,44.0,55.0,64.0,87.0,368.0,81.0,133.0,62.0,69.0,23.0
E01000144,Barnet ,1201,892.0,125.0,462.0,5.0,45.0,69.0,87.0,49.0,50.0,309.0,55.0,133.0,66.0,25.0,30.0
