LSOA21CD,All categories: Highest level of qualification_weighted,Highest level of qualification: Level 4 qualifications and above_weighted
E01000889,1304.0,371.0
E01000890,1321.0,327.0
E01000891,1234.0,339.0
E01000892,1481.0,838.0
E01000893,1301.0,944.0
E01000894,1130.0,806.0
E01000895,1379.0,857.0
E01000896,1391.0,1024.0
E01000897,1285.0,945.0
E01000898,1472.0,934.0
E01000899,1340.0,839.0
E01000900,1480.0,627.0
E01000901,1474.0,507.0
E01000902,1102.0,394.0
E01000903,1247.0,707.0
E01000904,1739.0,710.0
E01000905,1532.0,415.0
E01000906,1380.0,928.0
E01000907,1135.0,502.0
E01000908,1289.0,650.0
E01000909,1370.0,848.0
E01000910,1221.0,810.0
E01000911,1241.0,661.0
E01000912,1329.0,627.0
E01000913,1418.0,925.0
E01000914,1626.0,935.0
E01000915,1234.0,463.0
E01000916,1560.0,817.0
E01000917,1490.0,498.0
E01000918,1886.0,873.0
E01000919,1850.0,754.0
E01000920,1702.0,908.0
E01000921,1692.0,1032.0
E01000922,1322.0,584.0
E01000923,1264.0,732.0
E01000924,1436.0,904.0
E01000925,1173.0,402.0
E01000926,1537.0,937.0
E01000927,1496.0,885.0
E01000928,1377.0,697.0
E01000929,1260.0,396.0
E01000930,1586.0,633.0
E01000931,1589.0,595.0
E01000932,1670.0,1018.0
E01000933,1492.0,870.0
E01000934,1310.0,478.0
E01000935,1047.0,368.0
E01000937,1361.0,650.0
E01000938,1390.0,544.0
E01000939,947.0,225.0
E01000941,1000.0,281.0
E01000942,2006.0,697.0
E01000943,957.0,543.0
E01000944,1627.0,328.0
E01000946,1302.0,649.0
E01000947,1765.0,872.0
E01000948,1488.0,765.0
E01000949,1322.0,404.0
E01000951,1218.0,339.0
E01000952,1403.0,374.0
E01000954,1194.0,219.0
E01000955,1253.0,282.0
E01000956,1187.0,390.0
E01000957,1435.0,600.0
E01000958,1863.0,703.0
E01000959,1376.0,359.0
E01000960,1474.0,857.0
E01000961,1228.0,538.0
E01000962,1376.0,989.0
E01000963,1626.0,879.0
E01000964,1309.0,789.0
E01000965,1315.0,855.0
E01000966,1296.0,960.0
E01000967,1149.0,643.0
E01000968,1336.0,901.0
