LSOA21CD,All categories: Distance travelled to work_weighted,Less than 2km_weighted,2km to less than 5km_weighted,5km to less than 10km_weighted,10km to less than 20km_weighted,20km to less than 30km_weighted,30km to less than 40km_weighted,40km to less than 60km_weighted,60km and over_weighted,Work mainly at or from home_weighted,Other_weighted,Total distance (km)_weighted,Average distance (km)_weighted
E01000212,719.0,42.0,78.0,271.0,106.0,9.0,6.0,4.0,10.0,134.0,59.0,5346.0,10.0
E01000213,609.0,42.0,79.0,228.0,78.0,7.0,1.0,1.0,7.0,136.0,30.0,4546.0,10.0
E01000214,947.0,47.0,125.0,450.0,87.0,17.0,4.0,4.0,6.0,139.0,68.0,7046.0,9.0
E01000215,819.0,142.0,92.0,196.0,140.0,7.0,5.0,3.0,6.0,139.0,89.0,5524.0,9.0
E01000216,906.0,107.0,104.0,272.0,137.0,15.0,7.0,9.0,12.0,168.0,75.0,6900.0,10.0
E01000217,756.0,121.0,66.0,203.0,128.0,7.0,5.0,2.0,6.0,128.0,90.0,5028.0,9.0
E01000218,787.0,109.0,98.0,220.0,119.0,12.0,6.0,2.0,5.0,128.0,88.0,5089.0,9.0
E01000219,836.0,134.0,94.0,238.0,116.0,16.0,5.0,2.0,7.0,115.0,109.0,5292.0,9.0
E01000220,821.0,128.0,85.0,246.0,105.0,8.0,8.0,2.0,9.0,103.0,127.0,6040.0,10.0
E01000221,484.0,75.0,64.0,153.0,65.0,9.0,2.0,5.0,5.0,53.0,53.0,4016.0,11.0
E01000222,667.0,89.0,95.0,199.0,85.0,13.0,3.0,2.0,6.0,69.0,106.0,4241.0,9.0
E01000223,575.0,87.0,88.0,177.0,60.0,10.0,1.0,3.0,2.0,53.0,94.0,3102.0,7.0
E01000224,678.0,52.0,99.0,228.0,86.0,11.0,4.0,1.0,6.0,77.0,114.0,4601.0,9.0
E01000225,618.0,117.0,70.0,149.0,105.0,9.0,1.0,2.0,2.0,122.0,41.0,3305.0,7.0
E01000226,736.0,73.0,101.0,150.0,210.0,10.0,9.0,6.0,6.0,62.0,109.0,6750.0,12.0
E01000227,880.0,92.0,92.0,162.0,266.0,38.0,7.0,3.0,10.0,103.0,107.0,8052.0,12.0
E01000228,702.0,41.0,80.0,95.0,242.0,30.0,5.0,5.0,4.0,126.0,74.0,6114.0,12.0
E01000229,756.0,58.0,102.0,149.0,221.0,29.0,7.0,7.0,7.0,80.0,96.0,7216.0,12.0
E01000230,807.0,72.0,89.0,161.0,215.0,28.0,5.0,4.0,13.0,128.0,92.0,7406.0,13.0
E01000231,894.0,82.0,122.0,136.0,287.0,28.0,8.0,7.0,12.0,89.0,123.0,8190.0,12.0
E01000232,841.0,74.0,99.0,141.0,292.0,35.0,10.0,11.0,3.0,107.0,69.0,7833.0,12.0
E01000233,901.0,80.0,90.0,146.0,299.0,40.0,8.0,10.0,9.0,105.0,114.0,8553.0,13.0
E01000234,858.0,85.0,92.0,114.0,314.0,30.0,13.0,10.0,13.0,95.0,92.0,8961.0,13.0
E01000235,755.0,90.0,93.0,127.0,209.0,27.0,11.0,12.0,10.0,72.0,104.0,7626.0,13.0
E01000236,803.0,149.0,97.0,157.0,164.0,16.0,2.0,5.0,8.0,118.0,87.0,6444.0,11.0
E01000237,1073.0,136.0,110.0,197.0,276.0,17.0,6.0,6.0,10.0,131.0,184.0,8554.0,11.0
E01000238,862.0,153.0,102.0,168.0,181.0,10.0,2.0,2.0,7.0,110.0,127.0,6074.0,10.0
E01000239,1017.0,103.0,109.0,214.0,314.0,15.0,4.0,13.0,11.0,85.0,149.0,8630.0,11.0
E01000240,781.0,72.0,100.0,129.0,225.0,12.0,4.0,8.0,7.0,102.0,122.0,6184.0,11.0
E01000241,914.0,99.0,119.0,158.0,233.0,7.0,7.0,11.0,10.0,141.0,129.0,7458.0,12.0
