LSOA21CD,Borough,Total: All households,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
E01000259,Barnet ,980,4.0,65.0,236.0,149.0,408.0,74.0,17.0,23.0,4.0
E01000260,Barnet ,841,12.0,71.0,350.0,153.0,185.0,48.0,15.0,6.0,1.0
E01000126,Barnet ,771,45.0,116.0,253.0,203.0,131.0,9.0,9.0,2.0,3.0
E01000151,Barnet ,654,5.0,212.0,246.0,89.0,94.0,7.0,1.0,0.0,0.0
E01000152,Barnet ,929,2.0,125.0,534.0,191.0,61.0,12.0,2.0,2.0,0.0
E01000153,Barnet ,741,24.0,192.0,292.0,144.0,78.0,8.0,2.0,0.0,1.0
E01000154,Barnet ,708,2.0,180.0,278.0,181.0,58.0,5.0,0.0,1.0,3.0
E01000176,Barnet ,720,62.0,132.0,217.0,103.0,148.0,44.0,11.0,2.0,1.0
E01000178,Barnet ,677,6.0,97.0,177.0,79.0,131.0,144.0,30.0,6.0,7.0
E01000184,Barnet ,710,7.0,164.0,216.0,149.0,116.0,30.0,23.0,3.0,2.0
E01000297,Barnet ,540,10.0,92.0,135.0,70.0,167.0,51.0,12.0,0.0,3.0
E01000316,Barnet ,892,16.0,111.0,341.0,105.0,213.0,73.0,23.0,7.0,3.0
E01000319,Barnet ,497,1.0,32.0,86.0,53.0,218.0,81.0,21.0,3.0,2.0
E01000196,Barnet ,1093,103.0,273.0,524.0,78.0,59.0,22.0,15.0,12.0,7.0
E01000200,Barnet ,877,36.0,80.0,282.0,167.0,88.0,127.0,48.0,36.0,13.0
E01000201,Barnet ,520,0.0,9.0,95.0,50.0,31.0,116.0,83.0,67.0,69.0
E01000202,Barnet ,616,34.0,49.0,155.0,28.0,78.0,148.0,69.0,31.0,24.0
E01000203,Barnet ,684,7.0,68.0,283.0,110.0,37.0,102.0,33.0,26.0,18.0
