Local authority code,Local authority name,LSOA11CD,LSOA name,Number of sales 2011,Number of sales 2021
E09000003,Barnet,E01000211,Barnet 035C,136,110
E09000003,Barnet,E01000212,Barnet 035D,34,45
E09000003,Barnet,E01000213,Barnet 033F,57,52
E09000003,Barnet,E01000214,Barnet 038E,129,95
E09000003,Barnet,E01000215,Barnet 037B,57,56
E09000003,Barnet,E01000216,Barnet 035E,76,45
E09000003,Barnet,E01000217,Barnet 035F,41,35
E09000003,Barnet,E01000218,Barnet 037C,45,32
E09000003,Barnet,E01000219,Barnet 037D,34,55
E09000003,Barnet,E01000220,Barnet 037E,29,19
E09000003,Barnet,E01000221,Barnet 039B,19,12
E09000003,Barnet,E01000222,Barnet 040C,59,51
E09000003,Barnet,E01000223,Barnet 039C,41,18
E09000003,Barnet,E01000224,Barnet 040D,42,27
E09000003,Barnet,E01000225,Barnet 037F,95,45
E09000003,Barnet,E01000226,Barnet 018D,41,46
E09000003,Barnet,E01000227,Barnet 018E,62,94
E09000003,Barnet,E01000228,Barnet 007A,46,61
E09000003,Barnet,E01000229,Barnet 013B,47,70
E09000003,Barnet,E01000230,Barnet 013C,93,102
E09000003,Barnet,E01000231,Barnet 013D,65,73
E09000003,Barnet,E01000232,Barnet 013E,65,106
E09000003,Barnet,E01000233,Barnet 013F,102,124
E09000003,Barnet,E01000234,Barnet 021D,88,131
E09000003,Barnet,E01000235,Barnet 021E,39,48
E09000003,Barnet,E01000236,Barnet 034A,99,78
E09000003,Barnet,E01000237,Barnet 032A,57,55
E09000003,Barnet,E01000238,Barnet 034B,78,85
E09000003,Barnet,E01000239,Barnet 031A,74,88
E09000003,Barnet,E01000240,Barnet 031B,67,51
E09000003,Barnet,E01000241,Barnet 031C,114,96
E09000003,Barnet,E01000242,Barnet 032B,102,79
E09000003,Barnet,E01000243,Barnet 032C,105,93
E09000003,Barnet,E01000244,Barnet 032D,61,26
E09000003,Barnet,E01000245,Barnet 032E,104,25
E09000003,Barnet,E01000246,Barnet 002B,89,151
E09000003,Barnet,E01000247,Barnet 002C,102,96
E09000003,Barnet,E01000248,Barnet 001A,101,78
E09000003,Barnet,E01000249,Barnet 001B,65,94
E09000003,Barnet,E01000250,Barnet 001C,180,178
E09000003,Barnet,E01000251,Barnet 002D,147,143
E09000003,Barnet,E01000252,Barnet 002E,112,92
E09000003,Barnet,E01000253,Barnet 007B,96,171
E09000003,Barnet,E01000254,Barnet 001D,93,154
E09000003,Barnet,E01000255,Barnet 017A,70,117
E09000003,Barnet,E01000256,Barnet 016A,109,85
E09000003,Barnet,E01000257,Barnet 017B,86,750
E09000003,Barnet,E01000258,Barnet 016B,85,126
E09000003,Barnet,E01000259,Barnet 025D,115,149
E09000003,Barnet,E01000260,Barnet 025E,140,139
E09000003,Barnet,E01000261,Barnet 017C,129,110
E09000003,Barnet,E01000262,Barnet 017D,207,481
E09000003,Barnet,E01000263,Barnet 016C,86,92
E09000003,Barnet,E01000264,Barnet 016D,83,69
E09000003,Barnet,E01000265,Barnet 011A,112,77
E09000003,Barnet,E01000266,Barnet 011B,57,84
E09000003,Barnet,E01000267,Barnet 005A,85,82
E09000003,Barnet,E01000268,Barnet 005B,108,129
E09000003,Barnet,E01000269,Barnet 005C,65,67
E09000003,Barnet,E01000270,Barnet 005D,91,128
E09000003,Barnet,E01000271,Barnet 008A,96,101
E09000003,Barnet,E01000272,Barnet 008B,53,82
E09000003,Barnet,E01000273,Barnet 008C,52,60
E09000003,Barnet,E01000274,Barnet 011C,63,100
E09000003,Barnet,E01000275,Barnet 012A,106,121
E09000003,Barnet,E01000276,Barnet 020A,55,59
E09000003,Barnet,E01000277,Barnet 012B,76,110
E09000003,Barnet,E01000278,Barnet 020B,50,45
E09000003,Barnet,E01000279,Barnet 007C,64,87
E09000003,Barnet,E01000280,Barnet 007D,70,70
E09000003,Barnet,E01000281,Barnet 008D,38,213
E09000003,Barnet,E01000282,Barnet 008E,119,119
E09000003,Barnet,E01000283,Barnet 012C,62,58
E09000003,Barnet,E01000284,Barnet 012D,107,173
E09000003,Barnet,E01000285,Barnet 004A,74,101
E09000003,Barnet,E01000286,Barnet 007E,86,64
E09000003,Barnet,E01000287,Barnet 004B,54,65
E09000003,Barnet,E01000288,Barnet 004C,45,83
E09000003,Barnet,E01000289,Barnet 004D,35,23
E09000003,Barnet,E01000290,Barnet 007F,79,59
E09000003,Barnet,E01000291,Barnet 004E,35,69
E09000003,Barnet,E01000292,Barnet 001E,78,121
E09000003,Barnet,E01000293,Barnet 001F,59,90
E09000003,Barnet,E01000294,Barnet 004F,59,73
E09000003,Barnet,E01000295,Barnet 023B,61,106
E09000003,Barnet,E01000296,Barnet 023C,74,57
E09000003,Barnet,E01000297,Barnet 027D,64,79
E09000003,Barnet,E01000298,Barnet 023D,91,98
E09000003,Barnet,E01000299,Barnet 019A,104,76
E09000003,Barnet,E01000300,Barnet 019B,87,118
E09000003,Barnet,E01000301,Barnet 020C,58,72
E09000003,Barnet,E01000302,Barnet 019C,69,65
E09000003,Barnet,E01000303,Barnet 020D,62,92
E09000003,Barnet,E01000304,Barnet 020E,76,87
E09000003,Barnet,E01000305,Barnet 036B,62,111
E09000003,Barnet,E01000306,Barnet 036C,64,52
E09000003,Barnet,E01000307,Barnet 039D,49,45
E09000003,Barnet,E01000308,Barnet 036D,56,93
E09000003,Barnet,E01000309,Barnet 031D,78,59
E09000003,Barnet,E01000310,Barnet 034C,81,51
E09000003,Barnet,E01000311,Barnet 034D,72,56
E09000003,Barnet,E01000312,Barnet 036E,67,73
E09000003,Barnet,E01000313,Barnet 036F,68,61
E09000003,Barnet,E01000314,Barnet 032F,66,49
E09000003,Barnet,E01000315,Barnet 022F,31,37
E09000003,Barnet,E01000316,Barnet 027E,100,114
E09000003,Barnet,E01000317,Barnet 019D,73,93
E09000003,Barnet,E01000318,Barnet 019E,50,88
E09000003,Barnet,E01000319,Barnet 027F,53,81
E09000003,Barnet,E01000320,Barnet 011D,73,108
E09000003,Barnet,E01000321,Barnet 012E,65,71
E09000003,Barnet,E01000322,Barnet 011E,91,99
E09000003,Barnet,E01000323,Barnet 019F,96,125
E09000003,Barnet,E01000324,Barnet 015F,88,113
E09000003,Barnet,E01033572,Barnet 030E,84,1027
E09000003,Barnet,E01033573,Barnet 030F,106,529
E09000004,Bexley,E01000325,Bexley 014A,47,97
E09000004,Bexley,E01000326,Bexley 014B,137,160
E09000004,Bexley,E01000327,Bexley 017A,76,85
E09000004,Bexley,E01000328,Bexley 017B,72,81
E09000004,Bexley,E01000329,Bexley 017C,47,122
E09000004,Bexley,E01000330,Bexley 017D,105,120
E09000004,Bexley,E01000331,Bexley 017E,61,95
E09000004,Bexley,E01000332,Bexley 005A,92,101
E09000004,Bexley,E01000333,Bexley 003A,92,157
E09000004,Bexley,E01000334,Bexley 006A,86,104
E09000004,Bexley,E01000335,Bexley 003B,29,79
E09000004,Bexley,E01000336,Bexley 003C,73,63
E09000004,Bexley,E01000337,Bexley 003D,47,95
E09000004,Bexley,E01000338,Bexley 003E,72,115
E09000004,Bexley,E01000339,Bexley 025A,46,121
E09000004,Bexley,E01000340,Bexley 018A,70,89
E09000004,Bexley,E01000341,Bexley 022A,47,158
E09000004,Bexley,E01000342,Bexley 022B,85,112
E09000004,Bexley,E01000343,Bexley 022C,64,111
E09000004,Bexley,E01000344,Bexley 025B,99,139
E09000004,Bexley,E01000345,Bexley 022D,76,127
E09000004,Bexley,E01000346,Bexley 021A,89,179
E09000004,Bexley,E01000347,Bexley 021B,93,151
E09000004,Bexley,E01000348,Bexley 020A,69,95
E09000004,Bexley,E01000349,Bexley 020B,72,146
E09000004,Bexley,E01000350,Bexley 021C,58,92
E09000004,Bexley,E01000351,Bexley 024A,85,169
E09000004,Bexley,E01000352,Bexley 021D,68,135
E09000004,Bexley,E01000353,Bexley 011A,70,124
E09000004,Bexley,E01000354,Bexley 011B,58,86
E09000004,Bexley,E01000355,Bexley 011C,81,100
E09000004,Bexley,E01000356,Bexley 009A,70,85
E09000004,Bexley,E01000357,Bexley 009B,46,52
E09000004,Bexley,E01000358,Bexley 011D,63,82
E09000004,Bexley,E01000359,Bexley 009C,54,85
E09000004,Bexley,E01000360,Bexley 015A,107,120
E09000004,Bexley,E01000361,Bexley 020C,57,138
E09000004,Bexley,E01000362,Bexley 015B,69,410
E09000004,Bexley,E01000363,Bexley 020D,55,98
E09000004,Bexley,E01000364,Bexley 023A,45,139
E09000004,Bexley,E01000365,Bexley 015C,105,132
E09000004,Bexley,E01000366,Bexley 015D,121,137
E09000004,Bexley,E01000367,Bexley 010A,53,44
E09000004,Bexley,E01000368,Bexley 010B,38,76
E09000004,Bexley,E01000369,Bexley 014C,60,67
E09000004,Bexley,E01000370,Bexley 014D,61,109
E09000004,Bexley,E01000371,Bexley 014E,102,125
E09000004,Bexley,E01000372,Bexley 010C,52,54
E09000004,Bexley,E01000373,Bexley 008A,7,50
E09000004,Bexley,E01000374,Bexley 019A,43,37
E09000004,Bexley,E01000375,Bexley 019B,76,190
E09000004,Bexley,E01000376,Bexley 019C,86,76
E09000004,Bexley,E01000377,Bexley 019D,86,115
E09000004,Bexley,E01000378,Bexley 019E,131,191
E09000004,Bexley,E01000379,Bexley 019F,80,95
E09000004,Bexley,E01000380,Bexley 010D,65,110
E09000004,Bexley,E01000381,Bexley 028A,69,112
E09000004,Bexley,E01000382,Bexley 027A,77,121
E09000004,Bexley,E01000383,Bexley 028B,54,103
E09000004,Bexley,E01000384,Bexley 027B,99,176
E09000004,Bexley,E01000385,Bexley 028C,43,149
E09000004,Bexley,E01000386,Bexley 028D,39,57
E09000004,Bexley,E01000387,Bexley 027C,89,74
E09000004,Bexley,E01000388,Bexley 016A,60,107
E09000004,Bexley,E01000389,Bexley 020E,91,168
E09000004,Bexley,E01000390,Bexley 020F,47,122
E09000004,Bexley,E01000391,Bexley 021E,78,112
E09000004,Bexley,E01000392,Bexley 016B,33,65
E09000004,Bexley,E01000393,Bexley 020G,71,108
E09000004,Bexley,E01000394,Bexley 015E,84,102
E09000004,Bexley,E01000395,Bexley 018B,71,53
E09000004,Bexley,E01000396,Bexley 018C,71,79
E09000004,Bexley,E01000398,Bexley 029A,59,114
E09000004,Bexley,E01000399,Bexley 029B,62,112
E09000004,Bexley,E01000400,Bexley 029C,76,82
E09000004,Bexley,E01000401,Bexley 013A,68,80
E09000004,Bexley,E01000402,Bexley 005B,53,102
E09000004,Bexley,E01000403,Bexley 004A,78,81
E09000004,Bexley,E01000404,Bexley 004B,64,105
E09000004,Bexley,E01000405,Bexley 004C,42,92
E09000004,Bexley,E01000406,Bexley 005C,54,120
E09000004,Bexley,E01000407,Bexley 005D,67,300
E09000004,Bexley,E01000408,Bexley 004D,44,90
E09000004,Bexley,E01000409,Bexley 016C,80,88
E09000004,Bexley,E01000410,Bexley 018D,75,90
E09000004,Bexley,E01000411,Bexley 016D,79,123
E09000004,Bexley,E01000412,Bexley 018E,61,132
E09000004,Bexley,E01000413,Bexley 018F,59,105
E09000004,Bexley,E01000414,Bexley 016E,93,72
E09000004,Bexley,E01000415,Bexley 016F,60,62
E09000004,Bexley,E01000416,Bexley 002A,26,39
E09000004,Bexley,E01000417,Bexley 006B,70,69
E09000004,Bexley,E01000418,Bexley 002B,85,57
E09000004,Bexley,E01000419,Bexley 006C,57,85
E09000004,Bexley,E01000420,Bexley 006D,81,120
E09000004,Bexley,E01000421,Bexley 009D,57,90
E09000004,Bexley,E01000422,Bexley 002C,3,0
E09000004,Bexley,E01000423,Bexley 025C,77,103
E09000004,Bexley,E01000424,Bexley 026A,120,146
E09000004,Bexley,E01000425,Bexley 025D,62,86
E09000004,Bexley,E01000426,Bexley 026B,116,160
E09000004,Bexley,E01000427,Bexley 026C,140,156
E09000004,Bexley,E01000428,Bexley 027D,101,139
E09000004,Bexley,E01000429,Bexley 008B,58,35
E09000004,Bexley,E01000430,Bexley 008C,62,86
E09000004,Bexley,E01000431,Bexley 008D,17,15
E09000004,Bexley,E01000432,Bexley 008E,46,307
E09000004,Bexley,E01000433,Bexley 008F,58,46
E09000004,Bexley,E01000434,Bexley 008G,17,23
E09000004,Bexley,E01000435,Bexley 010E,58,71
E09000004,Bexley,E01000436,Bexley 011E,52,95
E09000004,Bexley,E01000437,Bexley 007A,56,104
E09000004,Bexley,E01000438,Bexley 007B,51,121
E09000004,Bexley,E01000439,Bexley 007C,49,70
E09000004,Bexley,E01000440,Bexley 007D,63,76
E09000004,Bexley,E01000441,Bexley 007E,101,75
E09000004,Bexley,E01000442,Bexley 006E,66,127
E09000004,Bexley,E01000443,Bexley 024B,65,81
E09000004,Bexley,E01000444,Bexley 023B,105,94
E09000004,Bexley,E01000445,Bexley 024C,75,134
E09000004,Bexley,E01000446,Bexley 024D,77,144
E09000004,Bexley,E01000447,Bexley 023C,106,182
E09000004,Bexley,E01000448,Bexley 023D,74,105
E09000004,Bexley,E01000449,Bexley 023E,93,128
E09000004,Bexley,E01000450,Bexley 009E,64,101
E09000004,Bexley,E01000451,Bexley 009F,64,98
E09000004,Bexley,E01000452,Bexley 009G,70,104
E09000004,Bexley,E01000453,Bexley 013B,55,126
E09000004,Bexley,E01000454,Bexley 013C,52,96
E09000004,Bexley,E01000455,Bexley 013D,74,90
E09000004,Bexley,E01000456,Bexley 013E,47,94
E09000004,Bexley,E01000457,Bexley 026D,114,143
E09000004,Bexley,E01000458,Bexley 027E,88,127
E09000004,Bexley,E01000459,Bexley 027F,90,142
E09000004,Bexley,E01000460,Bexley 022E,69,98
E09000004,Bexley,E01000461,Bexley 024E,78,94
E09000004,Bexley,E01000462,Bexley 026E,86,166
E09000004,Bexley,E01000463,Bexley 025E,57,101
E09000004,Bexley,E01000464,Bexley 002D,20,6
E09000004,Bexley,E01000465,Bexley 002E,12,22
E09000004,Bexley,E01000466,Bexley 001A,15,11
E09000004,Bexley,E01000467,Bexley 001B,29,39
E09000004,Bexley,E01000468,Bexley 001C,51,69
E09000004,Bexley,E01000469,Bexley 001D,36,56
