LSOA21CD,Number of sales 2011_weighted,Number of sales 2021_weighted
E01000948,70.0,80.0
E01000949,48.0,17.0
E01000951,27.0,24.0
E01000952,39.0,18.0
E01000954,16.0,4.0
E01000955,9.0,5.0
E01000956,86.0,12.0
E01000957,49.0,99.0
E01000958,75.0,45.0
E01000959,22.0,21.0
E01000960,77.0,83.0
E01000961,62.0,34.0
E01000962,164.0,105.0
E01000963,149.0,80.0
E01000964,79.0,63.0
E01000965,87.0,95.0
E01000966,118.0,113.0
E01000967,102.0,85.0
E01000968,138.0,84.0
E01000969,148.0,146.0
E01000970,111.0,119.0
E01000971,95.0,102.0
E01000972,22.0,34.0
E01000973,143.0,98.0
E01000974,91.0,60.0
E01000975,74.0,112.0
E01000976,70.0,117.0
E01000977,40.0,115.0
E01000978,110.0,86.0
E01000979,90.0,106.0
E01000980,60.0,128.0
E01000981,69.0,135.0
E01000982,98.0,137.0
E01000983,94.0,109.0
E01000984,55.0,117.0
E01000985,38.0,84.0
E01000986,79.0,95.0
E01000987,44.0,88.0
E01000989,64.0,98.0
E01000990,16.0,29.0
E01000991,82.0,116.0
E01000992,32.0,86.0
E01000993,58.0,85.0
E01000994,48.0,82.0
E01000995,52.0,63.0
E01000996,56.0,60.0
E01000997,23.0,45.0
E01000998,25.0,60.0
E01000999,33.0,50.0
E01001000,24.0,39.0
E01001001,41.0,32.0
E01001002,64.0,42.0
E01001003,23.0,70.0
E01001004,93.0,75.0
E01001005,29.0,55.0
E01001006,46.0,84.0
E01001007,31.0,42.0
E01001008,32.0,30.0
E01001009,26.0,49.0
E01001010,33.0,38.0
E01001011,78.0,42.0
E01001012,35.0,45.0
E01001013,31.0,25.0
E01001015,47.0,78.0
E01001016,90.0,143.0
E01001017,65.0,191.0
E01001018,110.0,171.0
E01001019,75.0,127.0
E01001020,99.0,133.0
E01001021,56.0,68.0
E01001022,69.0,157.0
E01001023,63.0,342.0
E01001024,67.0,117.0
E01001025,56.0,91.0
E01001026,76.0,150.0
E01001027,48.0,233.0
E01001028,57.0,81.0
E01001029,56.0,170.0
E01001030,78.0,175.0
E01001031,61.0,107.0
E01001032,63.0,153.0
E01001033,89.0,103.0
E01001034,113.0,124.0
E01001035,111.0,187.0
E01001036,89.0,117.0
E01001037,106.0,167.0
E01001038,79.0,228.0
E01001039,103.0,103.0
E01001040,133.0,219.0
E01001041,78.0,125.0
E01001042,56.0,99.0
E01001044,150.0,136.0
E01001046,102.0,136.0
E01001047,69.0,113.0
E01001049,43.0,72.0
E01001050,87.0,47.0
E01001051,21.0,23.0
E01001052,18.0,18.0
E01001053,25.0,44.0
E01001054,45.0,38.0
E01001055,25.0,32.0
E01001056,10.0,30.0
E01001057,3.0,8.0
E01001058,57.0,102.0
E01001059,85.0,120.0
E01001060,89.0,104.0
E01001061,63.0,119.0
E01001062,58.0,87.0
E01001063,53.0,92.0
E01001064,60.0,87.0
E01001065,92.0,143.0
E01001066,13.0,26.0
E01001067,77.0,103.0
E01001068,84.0,182.0
E01001069,51.0,140.0
E01001070,72.0,87.0
E01001071,73.0,164.0
E01001072,64.0,123.0
E01001073,96.0,142.0
E01001074,99.0,196.0
E01001075,91.0,147.0
E01001076,36.0,54.0
E01001077,24.0,73.0
E01001078,21.0,46.0
E01001079,35.0,53.0
E01001080,24.0,13.0
E01001081,26.0,47.0
E01001082,30.0,34.0
E01001083,43.0,66.0
E01001084,74.0,100.0
E01001085,61.0,30.0
E01001086,33.0,69.0
E01001087,58.0,38.0
E01001088,49.0,72.0
E01001089,67.0,91.0
E01001090,66.0,74.0
E01001091,32.0,63.0
E01001092,88.0,203.0
E01001093,115.0,159.0
E01001094,94.0,162.0
E01001095,73.0,109.0
E01001096,61.0,134.0
E01001097,148.0,177.0
E01001098,55.0,146.0
E01001099,107.0,145.0
E01001100,69.0,105.0
E01001101,51.0,82.0
E01001102,80.0,79.0
E01001103,101.0,127.0
E01001104,105.0,104.0
E01001105,64.0,127.0
