LSOA21CD,Number of sales 2011_weighted,Number of sales 2021_weighted
E01002240,69.0,52.0
E01002241,24.0,51.0
E01002242,70.0,45.0
E01002243,56.0,80.0
E01002244,91.0,71.0
E01002245,74.0,107.0
E01002246,74.0,86.0
E01002247,92.0,164.0
E01002248,76.0,81.0
E01002250,57.0,113.0
E01002251,21.0,76.0
E01002252,64.0,132.0
E01002253,84.0,212.0
E01002254,47.0,91.0
E01002255,79.0,157.0
E01002256,67.0,125.0
E01002257,104.0,99.0
E01002258,93.0,139.0
E01002259,125.0,163.0
E01002260,42.0,125.0
E01002261,72.0,118.0
E01002262,55.0,82.0
E01002263,35.0,107.0
E01002264,53.0,78.0
E01002265,72.0,143.0
E01002266,52.0,128.0
E01002267,90.0,126.0
E01002268,53.0,109.0
E01002269,80.0,154.0
E01002270,67.0,108.0
E01002271,59.0,104.0
E01002272,52.0,142.0
E01002273,59.0,79.0
E01002274,95.0,170.0
E01002275,55.0,89.0
E01002276,95.0,88.0
E01002277,45.0,78.0
E01002278,43.0,54.0
E01002279,56.0,75.0
E01002280,36.0,41.0
E01002281,46.0,120.0
E01002282,25.0,65.0
E01002283,49.0,54.0
E01002284,36.0,96.0
E01002285,70.0,277.0
E01002286,59.0,118.0
E01002287,76.0,91.0
E01002288,49.0,137.0
E01002289,88.0,127.0
E01002290,66.0,150.0
E01002291,89.0,137.0
E01002292,89.0,110.0
E01002294,85.0,113.0
E01002295,72.0,144.0
E01002296,59.0,182.0
E01002297,37.0,53.0
E01002298,79.0,142.0
E01002299,80.0,101.0
E01002300,103.0,110.0
E01002301,67.0,98.0
E01002302,81.0,128.0
E01002303,90.0,165.0
E01002304,48.0,103.0
E01002305,57.0,118.0
E01002306,22.0,46.0
E01002307,55.0,91.0
E01002308,44.0,118.0
E01002309,45.0,84.0
E01002310,44.0,80.0
E01002311,67.0,97.0
E01002312,38.0,74.0
E01002313,42.0,179.0
E01002314,34.0,43.0
E01002315,56.0,87.0
E01002316,41.0,37.0
E01002317,71.0,107.0
E01002318,51.0,129.0
E01002319,63.0,428.0
E01002320,57.0,114.0
E01002321,91.0,145.0
E01002322,116.0,146.0
E01002323,53.0,165.0
E01002324,75.0,93.0
E01002325,124.0,97.0
E01002326,64.0,128.0
E01002327,57.0,118.0
E01002328,87.0,109.0
E01002329,70.0,142.0
E01002330,88.0,140.0
E01002331,64.0,91.0
E01002332,87.0,142.0
E01002333,35.0,92.0
E01002334,72.0,133.0
E01002335,68.0,92.0
E01002336,61.0,175.0
E01002337,79.0,72.0
E01002338,84.0,101.0
E01002339,64.0,109.0
E01002340,37.0,97.0
E01002341,81.0,107.0
E01002342,44.0,66.0
E01002343,56.0,114.0
E01002344,60.0,99.0
E01002345,74.0,90.0
E01002346,42.0,69.0
E01002347,45.0,89.0
E01002348,72.0,110.0
E01002349,49.0,125.0
E01002350,69.0,72.0
E01002351,109.0,146.0
E01002352,99.0,160.0
E01002353,54.0,141.0
E01002354,79.0,115.0
E01002355,71.0,134.0
E01002356,110.0,215.0
E01002358,140.0,153.0
E01002359,75.0,139.0
E01002360,92.0,108.0
E01002361,102.0,148.0
E01002362,78.0,135.0
E01002363,41.0,117.0
E01002364,50.0,110.0
E01002365,63.0,106.0
E01002366,50.0,94.0
E01002367,97.0,108.0
E01002368,30.0,441.0
E01002369,73.0,140.0
E01002370,63.0,414.0
E01002371,59.0,94.0
E01002372,38.0,66.0
E01002373,52.0,118.0
E01002374,47.0,86.0
E01002375,43.0,86.0
E01002376,59.0,90.0
E01002377,64.0,154.0
E01002378,68.0,132.0
E01002379,105.0,148.0
E01002380,136.0,172.0
E01002381,54.0,91.0
E01002382,116.0,167.0
E01002383,93.0,151.0
E01002384,105.0,105.0
E01002385,114.0,85.0
E01002386,142.0,157.0
E01002387,76.0,128.0
E01002388,58.0,121.0
E01002389,63.0,109.0
E01002390,42.0,70.0
E01002391,49.0,109.0
E01002392,48.0,36.0
E01002393,64.0,87.0
E01002394,29.0,32.0
E01002395,39.0,36.0
E01002396,37.0,24.0
E01002397,42.0,36.0
E01002398,19.0,36.0
E01002399,47.0,47.0
E01002400,73.0,73.0
E01002401,109.0,69.0
E01002402,30.0,28.0
E01002403,225.0,45.0
E01002404,43.0,55.0
E01002405,79.0,77.0
E01002408,78.0,67.0
E01002409,44.0,48.0
E01002410,93.0,112.0
E01002411,69.0,97.0
E01002412,80.0,119.0
E01002413,61.0,57.0
E01002414,92.0,63.0
E01002415,92.0,112.0
E01002416,91.0,125.0
E01002417,101.0,216.0
E01002418,87.0,114.0
E01002419,92.0,279.0
E01002420,79.0,115.0
E01002421,89.0,129.0
E01002422,49.0,69.0
E01002423,47.0,104.0
E01002424,64.0,68.0
E01002425,60.0,68.0
E01002426,117.0,84.0
E01002427,97.0,55.0
E01002428,69.0,78.0
E01002429,42.0,35.0
E01002430,65.0,78.0
E01002431,45.0,63.0
E01002432,79.0,111.0
E01002433,317.0,221.0
E01002434,82.0,91.0
E01002435,142.0,77.0
E01002436,105.0,148.0
E01002437,68.0,84.0
E01002438,69.0,146.0
E01002439,93.0,93.0
E01002440,38.0,75.0
E01002441,89.0,123.0
E01002442,66.0,96.0
E01002443,66.0,111.0
E01002444,51.0,30.0
E01002445,44.0,43.0
E01002446,173.0,81.0
E01002447,135.0,26.0
E01002448,70.0,65.0
E01002449,65.0,62.0
E01002450,77.0,116.0
E01002451,54.0,95.0
E01002452,65.0,85.0
E01002453,68.0,134.0
E01002454,86.0,100.0
E01002455,67.0,71.0
E01002456,65.0,106.0
E01002457,36.0,41.0
E01002458,68.0,98.0
E01002459,88.0,118.0
E01002460,108.0,94.0
E01002461,57.0,104.0
E01002462,74.0,89.0
E01002463,42.0,86.0
E01002464,118.0,132.0
E01002465,126.0,133.0
E01002466,94.0,149.0
E01002467,104.0,139.0
E01002468,87.0,135.0
E01002469,83.0,127.0
E01002470,97.0,96.0
E01002471,85.0,123.0
E01002472,135.0,116.0
E01002473,64.0,84.0
E01002474,104.0,90.0
E01002475,75.0,115.0
E01002476,92.0,62.0
E01002477,69.0,56.0
E01002478,92.0,101.0
E01002479,59.0,80.0
E01002480,72.0,103.0
E01002481,70.0,74.0
E01002482,111.0,124.0
E01002483,85.0,77.0
E01002484,83.0,71.0
E01002485,73.0,55.0
E01002486,69.0,87.0
E01002487,42.0,61.0
E01002488,39.0,50.0
E01002489,44.0,28.0
E01002490,79.0,54.0
E01002491,47.0,25.0
E01002492,40.0,41.0
E01002493,52.0,35.0
E01002494,80.0,87.0
E01002495,79.0,98.0
E01002496,133.0,146.0
E01002497,111.0,91.0
E01002498,71.0,156.0
E01002499,111.0,119.0
E01002501,35.0,23.0
E01002502,31.0,39.0
E01002503,34.0,27.0
E01002505,45.0,42.0
E01002506,51.0,50.0
E01002507,46.0,19.0
E01002508,35.0,18.0
E01002509,79.0,83.0
E01002511,56.0,79.0
E01002512,280.0,139.0
E01002513,64.0,101.0
E01002514,104.0,203.0
E01002516,61.0,75.0
E01002518,50.0,67.0
E01002519,125.0,124.0
E01002520,80.0,135.0
E01002521,162.0,126.0
E01002523,64.0,73.0
E01002525,77.0,118.0
E01002526,35.0,85.0
E01002527,53.0,91.0
E01002528,50.0,43.0
E01002529,80.0,128.0
E01002530,45.0,43.0
E01002531,97.0,88.0
E01002533,72.0,97.0
E01002534,74.0,96.0
E01002535,127.0,230.0
E01002536,71.0,89.0
E01002537,216.0,149.0
E01002538,119.0,88.0
E01002539,126.0,90.0
E01002540,89.0,38.0
E01002541,91.0,126.0
E01002542,57.0,31.0
E01002543,49.0,84.0
E01002544,49.0,52.0
E01002545,5.0,8.0
E01002546,37.0,30.0
E01002547,26.0,29.0
E01002548,62.0,92.0
E01002549,106.0,119.0
E01002550,62.0,76.0
E01002551,68.0,48.0
E01002552,57.0,55.0
E01002553,39.0,37.0
E01002555,73.0,48.0
E01002556,64.0,62.0
E01002557,63.0,64.0
E01002558,137.0,68.0
E01002559,40.0,66.0
E01002560,50.0,86.0
E01002561,25.0,37.0
E01002562,44.0,21.0
E01002563,66.0,94.0
E01002564,62.0,72.0
E01002565,123.0,84.0
E01002567,95.0,116.0
E01002569,166.0,184.0
E01002570,86.0,61.0
E01002571,107.0,95.0
E01002572,43.0,74.0
E01002573,100.0,82.0
E01002574,92.0,92.0
E01002575,114.0,87.0
E01002576,92.0,105.0
E01002577,113.0,114.0
E01002578,104.0,100.0
E01002579,127.0,112.0
E01002580,79.0,53.0
E01002581,162.0,136.0
E01002582,107.0,137.0
E01002583,41.0,23.0
E01002584,22.0,12.0
E01002585,26.0,22.0
E01002586,29.0,19.0
E01002587,34.0,12.0
E01002588,8.0,13.0
E01002589,10.0,28.0
E01002590,89.0,222.0
E01002591,61.0,50.0
E01002592,56.0,61.0
E01002593,74.0,141.0
E01002594,55.0,71.0
E01002595,47.0,41.0
E01002596,105.0,71.0
E01002598,39.0,40.0
E01002599,57.0,33.0
E01002600,47.0,32.0
E01002601,79.0,92.0
E01002602,63.0,95.0
E01002603,63.0,59.0
E01002604,22.0,16.0
E01002605,56.0,53.0
E01002606,35.0,31.0
E01002607,67.0,77.0
E01002608,48.0,68.0
E01002609,69.0,106.0
E01002610,61.0,64.0
E01002611,84.0,61.0
E01002612,68.0,146.0
E01002613,46.0,63.0
E01002614,89.0,101.0
E01002615,35.0,20.0
E01002616,64.0,91.0
E01002617,91.0,76.0
E01002618,33.0,56.0
E01002619,46.0,35.0
E01002620,55.0,66.0
E01002621,33.0,21.0
E01002622,32.0,22.0
E01002623,16.0,13.0
E01002624,36.0,24.0
E01002625,34.0,38.0
E01002626,37.0,44.0
E01002627,29.0,32.0
E01002628,55.0,44.0
E01002629,52.0,40.0
E01002630,64.0,35.0
E01002631,30.0,20.0
E01002632,27.0,54.0
E01002633,45.0,16.0
E01002634,19.0,14.0
E01002635,25.0,29.0
E01002636,13.0,50.0
E01002637,52.0,32.0
E01002638,12.0,20.0
E01002639,25.0,20.0
E01002640,44.0,13.0
E01002641,36.0,84.0
E01002643,61.0,50.0
E01002645,73.0,45.0
E01002646,33.0,22.0
E01002647,59.0,44.0
E01002649,43.0,48.0
E01002650,58.0,30.0
E01002651,18.0,20.0
E01002652,24.0,26.0
E01002653,47.0,59.0
E01002654,79.0,60.0
E01002655,67.0,60.0
E01002656,53.0,77.0
E01002657,69.0,101.0
E01002658,37.0,83.0
E01002659,52.0,62.0
E01002660,11.0,15.0
E01002661,19.0,7.0
E01002662,13.0,35.0
E01002663,33.0,21.0
E01002665,33.0,25.0
E01002666,32.0,142.0
E01002667,60.0,131.0
E01002668,147.0,260.0
E01002669,77.0,69.0
E01002670,114.0,100.0
E01002671,93.0,116.0
E01002672,98.0,51.0
E01002673,12.0,4.0
E01002674,96.0,70.0
E01002675,97.0,110.0
E01002676,32.0,63.0
E01002677,73.0,89.0
E01002678,35.0,80.0
E01002679,47.0,69.0
E01002680,93.0,78.0
E01002681,70.0,61.0
E01002682,296.0,124.0
E01002686,27.0,47.0
E01002687,108.0,104.0
E01002689,113.0,84.0
E01002690,120.0,82.0
E01002691,70.0,83.0
E01002692,140.0,102.0
E01002693,166.0,175.0
E01002694,11.0,11.0
E01002695,51.0,62.0
E01002696,118.0,113.0
E01002697,27.0,21.0
E01002698,606.0,194.0
E01002699,106.0,71.0
E01002700,87.0,110.0
E01002701,63.0,38.0
E01002702,51.0,369.0
E01002703,55.0,143.0
E01002704,375.0,83.0
E01002706,84.0,256.0
E01002707,72.0,73.0
E01002708,141.0,55.0
E01002709,52.0,38.0
E01002710,50.0,28.0
E01002711,115.0,70.0
E01002712,70.0,63.0
E01002713,29.0,39.0
E01002714,114.0,114.0
E01002715,41.0,29.0
E01002716,67.0,85.0
E01002717,63.0,65.0
E01002718,120.0,134.0
E01002719,104.0,86.0
E01002720,59.0,55.0
E01002721,131.0,100.0
E01002722,78.0,42.0
E01002723,66.0,34.0
E01002724,194.0,45.0
E01002725,30.0,8.0
E01002726,109.0,56.0
E01002727,134.0,97.0
E01002728,46.0,23.0
E01002729,50.0,50.0
E01002730,80.0,71.0
E01002732,48.0,29.0
E01002733,96.0,65.0
E01002734,10.0,153.0
E01002735,40.0,449.0
E01002736,17.0,30.0
E01002737,39.0,49.0
E01002738,113.0,121.0
E01002739,130.0,122.0
E01002740,181.0,149.0
E01002741,49.0,51.0
E01002742,126.0,78.0
E01002743,99.0,83.0
E01002744,75.0,84.0
E01002745,84.0,96.0
E01002747,90.0,86.0
E01002748,62.0,56.0
E01002749,80.0,65.0
E01002751,50.0,39.0
E01002752,66.0,94.0
E01002753,45.0,41.0
E01002754,76.0,67.0
E01002755,34.0,33.0
E01002756,65.0,76.0
E01002757,49.0,50.0
E01002758,38.0,63.0
E01002759,91.0,106.0
E01002760,24.0,102.0
E01002762,103.0,92.0
E01002763,62.0,57.0
E01002764,75.0,47.0
E01002765,45.0,30.0
E01002766,33.0,33.0
E01002767,65.0,70.0
E01002768,41.0,77.0
E01002769,57.0,102.0
E01002770,91.0,86.0
E01002771,68.0,32.0
E01002772,88.0,75.0
E01002773,61.0,39.0
E01002774,78.0,95.0
E01002775,105.0,85.0
E01002776,94.0,83.0
E01002777,77.0,95.0
E01002778,104.0,49.0
E01002779,79.0,125.0
E01002780,125.0,94.0
E01002781,26.0,56.0
E01002782,25.0,30.0
E01002783,75.0,85.0
E01002784,65.0,52.0
E01002785,136.0,85.0
E01002786,51.0,44.0
E01002787,33.0,46.0
E01002788,173.0,125.0
E01002789,100.0,103.0
E01002790,25.0,24.0
E01002791,81.0,80.0
E01002792,143.0,123.0
E01002793,86.0,67.0
E01002794,116.0,216.0
E01002795,138.0,49.0
E01002796,29.0,50.0
E01002797,84.0,72.0
E01002798,213.0,168.0
E01002799,45.0,47.0
E01002800,23.0,17.0
E01002801,121.0,99.0
E01002802,132.0,118.0
E01002804,64.0,45.0
E01002805,63.0,65.0
E01002806,104.0,127.0
E01002807,35.0,41.0
E01002808,88.0,70.0
E01002809,101.0,95.0
E01002810,69.0,74.0
E01002811,43.0,55.0
E01002812,101.0,79.0
E01002813,155.0,130.0
E01002814,54.0,190.0
E01002815,82.0,78.0
E01002816,65.0,51.0
E01002817,103.0,116.0
E01002818,130.0,88.0
E01002819,131.0,67.0
E01002821,148.0,96.0
E01002823,30.0,34.0
E01002824,101.0,90.0
E01002825,146.0,122.0
E01002826,123.0,107.0
E01002827,136.0,120.0
E01002828,111.0,101.0
E01002829,54.0,63.0
E01002830,56.0,46.0
E01002831,105.0,69.0
E01002832,93.0,63.0
E01002833,122.0,125.0
E01002834,140.0,101.0
E01002835,146.0,101.0
E01002836,153.0,92.0
E01002837,140.0,54.0
E01002839,171.0,89.0
E01002840,38.0,12.0
E01002841,76.0,77.0
E01002842,9.0,5.0
E01002843,21.0,24.0
E01002844,130.0,66.0
E01002845,111.0,65.0
E01002846,133.0,43.0
E01002847,153.0,78.0
E01002848,136.0,41.0
E01002849,146.0,78.0
E01002850,119.0,29.0
E01002851,77.0,25.0
E01002852,31.0,30.0
E01002853,9.0,35.0
E01002854,12.0,26.0
E01002855,22.0,20.0
E01002856,68.0,46.0
E01002857,9.0,35.0
E01002858,134.0,83.0
E01002859,113.0,97.0
E01002860,154.0,115.0
E01002861,98.0,61.0
E01002862,90.0,70.0
E01002863,103.0,60.0
E01002864,70.0,47.0
E01002865,70.0,92.0
E01002866,119.0,80.0
E01002867,84.0,83.0
E01002868,95.0,118.0
E01002869,113.0,43.0
E01002870,13.0,7.0
E01002871,110.0,114.0
E01002872,36.0,17.0
E01002873,90.0,77.0
E01002874,102.0,62.0
E01002875,97.0,71.0
E01002876,99.0,82.0
E01002877,48.0,26.0
E01002878,91.0,76.0
E01002879,13.0,38.0
E01002880,8.0,3.0
E01002881,26.0,29.0
E01002882,95.0,51.0
E01002883,120.0,132.0
E01002884,65.0,73.0
E01002885,109.0,83.0
E01002886,150.0,126.0
E01002887,161.0,76.0
E01002888,178.0,89.0
E01002889,76.0,70.0
E01002890,78.0,95.0
E01002891,128.0,42.0
E01002892,146.0,101.0
E01002893,181.0,107.0
E01002894,156.0,67.0
E01002896,196.0,124.0
E01002897,145.0,79.0
E01002898,112.0,62.0
E01002899,100.0,77.0
E01002900,128.0,82.0
E01002901,92.0,68.0
E01002902,136.0,99.0
E01002903,92.0,138.0
E01002904,0.0,0.0
E01002905,38.0,43.0
E01002906,71.0,45.0
E01002907,4.0,0.0
E01002908,40.0,55.0
E01002909,120.0,122.0
E01002910,74.0,71.0
E01002911,140.0,103.0
E01002912,150.0,76.0
E01002913,169.0,94.0
E01002914,105.0,109.0
E01002915,71.0,80.0
E01002916,64.0,111.0
E01002917,59.0,89.0
E01002918,98.0,109.0
E01002919,65.0,95.0
E01002920,50.0,91.0
E01002921,101.0,137.0
E01002922,88.0,119.0
E01002923,53.0,145.0
E01002924,51.0,60.0
E01002925,138.0,171.0
E01002926,66.0,66.0
E01002927,75.0,122.0
E01002928,93.0,60.0
E01002929,84.0,112.0
E01002930,44.0,172.0
E01002931,84.0,120.0
E01002932,36.0,71.0
E01002933,93.0,117.0
E01002934,80.0,86.0
E01002935,112.0,166.0
E01002937,170.0,158.0
E01002938,156.0,147.0
E01002939,72.0,76.0
E01002940,113.0,82.0
E01002941,77.0,111.0
E01002942,58.0,67.0
E01002943,44.0,57.0
E01002944,85.0,82.0
E01002945,103.0,158.0
E01002946,74.0,130.0
E01002947,64.0,130.0
E01002948,111.0,152.0
E01002949,84.0,129.0
E01002950,96.0,112.0
E01002951,101.0,105.0
E01002952,48.0,97.0
E01002953,50.0,38.0
E01002954,67.0,104.0
E01002955,55.0,85.0
E01002956,59.0,81.0
E01002957,49.0,59.0
E01002958,125.0,167.0
E01002959,51.0,46.0
E01002960,59.0,106.0
E01002961,103.0,92.0
E01002962,50.0,62.0
E01002963,76.0,104.0
E01002964,122.0,276.0
E01002965,127.0,137.0
E01002966,151.0,208.0
E01002967,210.0,198.0
E01002968,198.0,155.0
E01002969,8.0,3.0
E01002970,56.0,93.0
E01002971,146.0,126.0
E01002972,165.0,135.0
E01002973,35.0,54.0
E01002974,54.0,82.0
E01002975,37.0,85.0
E01002976,101.0,143.0
E01002977,22.0,52.0
E01002978,108.0,93.0
E01002979,66.0,81.0
E01002980,55.0,63.0
E01002981,42.0,95.0
E01002982,56.0,55.0
E01002983,81.0,105.0
E01002984,71.0,68.0
E01002985,80.0,73.0
E01002986,54.0,74.0
E01002987,150.0,113.0
E01002988,109.0,123.0
E01002989,219.0,281.0
E01002990,180.0,162.0
E01002991,105.0,182.0
E01002992,93.0,136.0
E01002993,141.0,167.0
E01002994,93.0,103.0
E01002995,101.0,134.0
E01002996,126.0,119.0
E01002997,124.0,137.0
E01002998,89.0,173.0
E01002999,150.0,126.0
E01003000,61.0,101.0
E01003001,77.0,73.0
E01003002,115.0,135.0
E01003003,55.0,99.0
E01003004,57.0,65.0
E01003005,69.0,108.0
E01003006,92.0,95.0
E01003007,54.0,111.0
E01003008,90.0,102.0
E01003009,116.0,130.0
E01003010,105.0,110.0
E01003011,175.0,129.0
E01003013,254.0,120.0
E01003014,42.0,52.0
E01003015,43.0,43.0
E01003016,56.0,87.0
E01003017,47.0,35.0
E01003018,114.0,165.0
E01003019,200.0,217.0
E01003020,86.0,114.0
E01003021,40.0,76.0
E01003022,90.0,164.0
E01003023,104.0,170.0
E01003024,46.0,38.0
E01003025,78.0,162.0
E01003026,124.0,158.0
E01003027,113.0,152.0
E01003028,110.0,129.0
E01003029,155.0,108.0
E01003030,180.0,168.0
E01003031,91.0,95.0
E01003032,45.0,76.0
E01003033,140.0,107.0
E01003034,72.0,104.0
E01003035,171.0,128.0
E01003036,119.0,97.0
E01003037,50.0,50.0
E01003038,128.0,138.0
E01003039,152.0,149.0
E01003040,91.0,88.0
E01003041,63.0,48.0
E01003042,61.0,66.0
E01003043,89.0,102.0
E01003044,6.0,26.0
E01003045,39.0,38.0
E01003046,24.0,66.0
E01003047,41.0,57.0
E01003048,13.0,31.0
E01003049,36.0,32.0
E01003050,94.0,88.0
E01003051,16.0,93.0
E01003052,13.0,29.0
E01003053,140.0,147.0
E01003054,155.0,213.0
E01003055,86.0,90.0
E01003056,117.0,125.0
E01003057,43.0,67.0
E01003058,178.0,149.0
E01003059,31.0,102.0
E01003060,8.0,53.0
E01003061,28.0,226.0
E01003062,81.0,168.0
E01003063,43.0,99.0
E01003064,113.0,143.0
E01003065,37.0,61.0
E01003066,98.0,130.0
E01003067,97.0,108.0
E01003068,76.0,100.0
E01003069,46.0,75.0
E01003070,48.0,81.0
E01003071,153.0,164.0
E01003072,96.0,99.0
E01003073,83.0,113.0
E01003074,173.0,137.0
E01003075,13.0,35.0
E01003076,81.0,100.0
E01003077,103.0,99.0
E01003078,106.0,55.0
E01003079,69.0,177.0
E01003080,115.0,152.0
E01003081,59.0,93.0
E01003082,54.0,102.0
E01003083,61.0,77.0
E01003084,105.0,136.0
E01003085,80.0,137.0
E01003086,37.0,56.0
E01003087,45.0,46.0
E01003088,47.0,47.0
E01003089,35.0,37.0
E01003090,140.0,281.0
E01003091,61.0,79.0
E01003092,46.0,74.0
E01003093,44.0,32.0
E01003094,57.0,81.0
E01003095,142.0,121.0
E01003096,158.0,136.0
E01003097,39.0,36.0
E01003098,59.0,68.0
E01003099,57.0,71.0
E01003100,92.0,122.0
E01003101,34.0,34.0
E01003102,65.0,51.0
E01003104,92.0,94.0
E01003105,42.0,29.0
E01003106,88.0,102.0
E01003107,145.0,87.0
E01003108,37.0,28.0
E01003110,163.0,84.0
E01003111,12.0,44.0
E01003112,46.0,71.0
E01003113,51.0,147.0
E01003114,118.0,196.0
E01003115,36.0,90.0
E01003116,87.0,99.0
E01003117,101.0,194.0
E01003118,95.0,87.0
E01003119,100.0,171.0
E01003120,93.0,151.0
E01003121,16.0,21.0
E01003122,341.0,83.0
E01003123,80.0,101.0
E01003124,22.0,30.0
E01003125,11.0,19.0
E01003126,28.0,43.0
E01003127,53.0,63.0
E01003128,37.0,37.0
E01003129,59.0,80.0
E01003130,96.0,124.0
E01003131,117.0,93.0
E01003132,55.0,70.0
E01003133,88.0,154.0
E01003134,82.0,129.0
E01003135,107.0,129.0
E01003136,64.0,86.0
E01003137,67.0,47.0
E01003138,201.0,171.0
E01003139,57.0,43.0
E01003140,34.0,35.0
E01003141,38.0,103.0
E01003142,54.0,34.0
E01003143,21.0,44.0
E01003144,39.0,102.0
E01003145,93.0,123.0
E01003146,23.0,54.0
E01003147,106.0,76.0
E01003148,101.0,140.0
E01003149,98.0,146.0
E01003150,49.0,93.0
E01003151,58.0,74.0
E01003152,69.0,183.0
E01003153,115.0,161.0
E01003154,72.0,88.0
E01003155,87.0,128.0
E01003156,107.0,130.0
E01003157,154.0,172.0
E01003158,182.0,258.0
E01003159,17.0,50.0
E01003160,7.0,32.0
E01003161,72.0,69.0
E01003162,19.0,23.0
E01003163,69.0,68.0
E01003164,93.0,128.0
E01003165,68.0,110.0
E01003166,117.0,177.0
E01003167,106.0,152.0
E01003168,10.0,38.0
E01003169,144.0,185.0
E01003170,156.0,170.0
E01003171,144.0,156.0
E01003172,54.0,85.0
E01003173,106.0,115.0
E01003174,15.0,54.0
E01003175,23.0,47.0
E01003176,20.0,24.0
E01003177,72.0,106.0
E01003178,95.0,102.0
E01003179,17.0,28.0
E01003180,68.0,99.0
E01003181,54.0,50.0
E01003182,70.0,83.0
E01003183,61.0,65.0
E01003184,22.0,94.0
E01003185,97.0,103.0
E01003186,206.0,134.0
E01003187,34.0,181.0
E01003188,38.0,28.0
E01003189,43.0,26.0
E01003190,55.0,64.0
E01003191,26.0,56.0
E01003192,37.0,44.0
E01003193,58.0,73.0
E01003194,35.0,53.0
E01003195,81.0,110.0
E01003196,33.0,34.0
E01003197,30.0,67.0
E01003198,131.0,102.0
E01003199,117.0,140.0
E01003200,90.0,89.0
E01003201,54.0,60.0
E01003202,60.0,93.0
E01003203,79.0,112.0
E01003204,60.0,107.0
E01003205,17.0,12.0
E01003206,98.0,85.0
E01003207,104.0,57.0
E01003209,49.0,74.0
E01003210,90.0,124.0
E01003211,102.0,142.0
E01003212,84.0,143.0
E01003213,98.0,136.0
E01003214,38.0,83.0
E01003215,46.0,55.0
E01003216,60.0,108.0
E01003217,64.0,106.0
E01003218,68.0,78.0
E01003219,48.0,78.0
E01003220,51.0,91.0
E01003221,51.0,168.0
E01003222,65.0,104.0
E01003223,49.0,51.0
E01003224,66.0,101.0
E01003225,118.0,149.0
E01003226,191.0,144.0
E01003227,87.0,117.0
E01003228,143.0,114.0
E01003229,73.0,99.0
E01003230,95.0,155.0
E01003231,83.0,102.0
E01003232,68.0,150.0
E01003233,76.0,122.0
E01003235,35.0,43.0
E01003236,51.0,64.0
E01003237,42.0,47.0
E01003238,30.0,58.0
E01003239,26.0,61.0
E01003240,71.0,68.0
E01003241,45.0,42.0
E01003243,34.0,25.0
E01003244,0.0,166.0
E01003245,16.0,10.0
E01003246,13.0,307.0
E01003247,85.0,71.0
E01003248,52.0,17.0
E01003249,52.0,24.0
E01003251,17.0,31.0
E01003252,13.0,21.0
E01003253,50.0,48.0
E01003254,85.0,89.0
E01003255,119.0,178.0
E01003256,68.0,103.0
E01003257,68.0,133.0
E01003258,32.0,70.0
E01003259,100.0,173.0
E01003260,85.0,135.0
E01003261,80.0,141.0
E01003262,77.0,150.0
E01003263,53.0,79.0
E01003264,58.0,96.0
E01003265,61.0,97.0
E01003266,44.0,61.0
E01003267,25.0,71.0
E01003268,53.0,126.0
E01003269,53.0,70.0
E01003270,73.0,122.0
E01003271,71.0,103.0
E01003272,77.0,144.0
E01003273,52.0,78.0
E01003274,94.0,111.0
E01003275,41.0,79.0
E01003276,74.0,85.0
E01003277,95.0,148.0
E01003278,101.0,191.0
E01003279,94.0,64.0
E01003280,43.0,77.0
E01003281,60.0,119.0
E01003282,107.0,155.0
E01003283,118.0,189.0
E01003284,98.0,155.0
E01003285,114.0,114.0
E01003286,42.0,62.0
E01003287,129.0,139.0
E01003288,81.0,91.0
E01003290,62.0,104.0
E01003291,31.0,42.0
E01003292,122.0,140.0
E01003293,50.0,122.0
E01003295,64.0,90.0
E01003297,52.0,50.0
E01003298,14.0,29.0
E01003299,40.0,99.0
E01003300,18.0,48.0
E01003301,83.0,129.0
E01003302,37.0,50.0
E01003303,60.0,39.0
E01003304,43.0,51.0
E01003305,32.0,71.0
E01003307,82.0,127.0
E01003308,86.0,114.0
E01003309,38.0,47.0
E01003310,107.0,95.0
E01003311,83.0,121.0
E01003312,85.0,104.0
E01003313,43.0,62.0
E01003314,120.0,131.0
E01003315,77.0,130.0
E01003316,89.0,147.0
E01003318,29.0,37.0
E01003319,52.0,90.0
E01003320,30.0,82.0
E01003321,74.0,92.0
E01003322,55.0,68.0
E01003323,58.0,95.0
E01003324,30.0,35.0
E01003325,62.0,88.0
E01003326,63.0,85.0
E01003327,104.0,112.0
E01003328,103.0,149.0
E01003329,85.0,91.0
E01003330,26.0,84.0
E01003331,56.0,91.0
E01003332,68.0,125.0
E01003333,80.0,80.0
E01003334,61.0,99.0
E01003335,15.0,37.0
E01003336,17.0,41.0
E01003337,5.0,30.0
E01003338,16.0,106.0
E01003339,60.0,77.0
E01003340,91.0,77.0
E01003341,45.0,110.0
E01003342,61.0,121.0
E01003343,72.0,76.0
E01003344,73.0,118.0
E01003345,104.0,107.0
E01003346,43.0,55.0
E01003347,19.0,13.0
E01003348,72.0,67.0
E01003349,21.0,35.0
E01003350,36.0,71.0
E01003351,41.0,56.0
E01003352,44.0,66.0
E01003353,71.0,77.0
E01003354,183.0,121.0
E01003355,133.0,148.0
E01003356,98.0,124.0
E01003357,65.0,31.0
E01003358,153.0,173.0
E01003359,140.0,164.0
E01003360,157.0,212.0
E01003361,82.0,93.0
